Player,Country,Age,Role,Batting_Style,Bowling_Style,Capped_Status,Reserve_Price_Lakh,Set_Type,Reserve_Price_Cr,Expected_Price_Cr
Devon Conway New,Zealand,34,BATTER,LHB,29 40 62 29 CSK 6,Capped,200,BA1,2.0,4.0
Jake Fraser-Mcgurk,Australia,23,BATTER,RHB,7 8 15 DC 6,Capped,200,BA1,2.0,4.0
Cameron Green,Australia,26,BATTER,RHB,RIGHT ARM Fast 33 31 21 29,Capped,200,BA1,2.0,4.0
Sarfaraz Khan India,MCA,28,BATTER,RHB,RIGHT ARM Leg Spin 6 50,Capped,75,BA1,0.75,1.5
David Miller South,Africa,36,BATTER,LHB,178 130 141 LSG 11,Capped,200,BA1,2.0,4.0
Prithvi Shaw India,MACA,26,BATTER,RHB,5 6 1 79,Capped,75,BA1,0.75,1.5
Gus Atkinson,England,28,ALL-ROUNDER,RHB,RIGHT ARM Fast 14 11 4 0,Capped,200,AL1,2.0,4.0
Wanindu Hasaranga Sri,Lanka,28,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin 4 68 90 37 RR 11,Capped,200,AL1,2.0,4.0
Deepak Hooda India,RCA,30,ALL-ROUNDER,RHB,RIGHT ARM Off Spin 10 21 125 CSK 7,Capped,75,AL1,0.75,1.5
Venkatesh Iyer India,MPCA,31,ALL-ROUNDER,LHB,RIGHT ARM Medium 2 9 62 KKR 11,Capped,200,AL1,2.0,4.0
Liam Livingstone,England,32,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin 1 39 60 49 RCB 10,Capped,200,AL1,2.0,4.0
Wiaan Mulder South,Africa,28,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium 24 30 11 1 SRH 1,Capped,100,AL1,1.0,2.0
Rachin Ravindra New,Zealand,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox 17 39 38 18 CSK 8,Capped,200,AL1,2.0,4.0
Finn Allen New,Zealand,26,WICKETKEEPER,RHB,22 52 0,Capped,200,WK1,2.0,4.0
Jonny Bairstow,England,36,WICKETKEEPER,RHB,100 107 80 52 MI 2,Capped,100,WK1,1.0,2.0
K.S. Bharat India,ACA,32,WICKETKEEPER,RHB,7 10,Capped,75,WK1,0.75,1.5
Quinton De Kock South,Africa,33,WICKETKEEPER,LHB,54 161 96 115 KKR 8,Capped,100,WK1,1.0,2.0
Ben Duckett,England,31,WICKETKEEPER,LHB,39 31 20,Capped,200,WK1,2.0,4.0
Rahmanullah Gurbaz,Afghanistan,24,WICKETKEEPER,RHB,2 52 80 19 KKR 5,Capped,150,WK1,1.5,3.0
Jamie Smith,England,25,WICKETKEEPER,RHB,16 19 5,Capped,200,WK1,2.0,4.0
Gerald Coetzee South,Africa,25,BOWLER,RHB,RIGHT ARM Fast 4 14 13 14 GT 4,Capped,200,FA1,2.0,4.0
Akash Deep India,CAB,29,BOWLER,RHB,RIGHT ARM Fast 10 14 LSG 6,Capped,100,FA1,1.0,2.0
Jacob Duffy New,Zealand,31,BOWLER,RHB,RIGHT ARM Fast Medium 1 19 38,Capped,200,FA1,2.0,4.0
Fazalhaq Farooqi,Afghanistan,25,BOWLER,RHB,LEFT ARM Fast Medium 42 51 12 RR 5,Capped,100,FA1,1.0,2.0
Matt Henry New,Zealand,34,BOWLER,RHB,RIGHT ARM Fast Medium 32 95 31 6,Capped,200,FA1,2.0,4.0
Spencer Johnson,Australia,30,BOWLER,LHB,LEFT ARM Fast 5 8 9 KKR 4,Capped,150,FA1,1.5,3.0
Shivam Mavi India,UPCA,27,BOWLER,RHB,RIGHT ARM Fast Medium 6 32,Capped,75,FA1,0.75,1.5
Anrich Nortje South,Africa,32,BOWLER,RHB,RIGHT ARM Fast 19 22 42 48 KKR 2,Capped,200,FA1,2.0,4.0
Matheesha Pathirana Sri,Lanka,23,BOWLER,RHB,RIGHT ARM Fast 12 21 32 CSK 12,Capped,200,FA1,2.0,4.0
Ravi Bishnoi India,GUCA,25,BOWLER,RHB,RIGHT ARM Leg Spin 1 42 77 LSG 11,Capped,200,SP1,2.0,4.0
Rahul Chahar India,RCA,26,BOWLER,RHB,RIGHT ARM Leg Spin 1 6 80 SRH 1,Capped,100,SP1,1.0,2.0
Akeal Hosein West,Indies,32,BOWLER,LHB,LEFT ARM Slow Orthodox 40 87 1,Capped,200,SP1,2.0,4.0
Mujeeb Rahman,Afghanistan,25,BOWLER,RHB,RIGHT ARM Off Spin 1 75 58 20 MI 1,Capped,200,SP1,2.0,4.0
Maheesh Theekshana Sri,Lanka,25,BOWLER,RHB,RIGHT ARM Off Spin 2 59 71 38 RR 11,Capped,200,SP1,2.0,4.0
Aarya Desai India,GUCA,23,BATTER,LHB,RIGHT ARM Off Spin 0,Uncapped,30,UBA1,0.3,0.42
Yash Dhull India,DDCA,23,BATTER,RHB,RIGHT ARM Leg Spin 4,Uncapped,30,UBA1,0.3,0.42
Abhinav Manohar India,KSCA,31,BATTER,RHB,RIGHT ARM Leg Spin 26 SRH 8,Uncapped,30,UBA1,0.3,0.42
Anmolpreet Singh India,PCA,28,BATTER,RHB,RIGHT ARM Off Spin 9,Uncapped,30,UBA1,0.3,0.42
Atharva Taide India,VCA,25,BATTER,LHB,LEFT ARM Slow Orthodox 10 SRH 1,Uncapped,30,UBA1,0.3,0.42
Abhinav Tejrana India,GCA,25,BATTER,LHB,RIGHT ARM Off Spin,Uncapped,30,UBA1,0.3,0.42
Auqib Dar India,JKCA,29,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Uncapped,30,UAL1,0.3,0.42
Rajvardhan Hangargekar India,MACA,23,ALL-ROUNDER,RHB,RIGHT ARM Fast 2 LSG 2,Uncapped,40,UAL1,0.4,0.5599999999999999
Tanush Kotian India,MCA,27,ALL-ROUNDER,RHB,RIGHT ARM Off Spin 1,Uncapped,30,UAL1,0.3,0.42
Shivang Kumar India,MPCA,23,ALL-ROUNDER,RHB,LEFT ARM Slow Unorthodox,Uncapped,30,UAL1,0.3,0.42
Mahipal Lomror India,RCA,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox 40 GT 0,Uncapped,50,UAL1,0.5,0.7
